"Customer ID","cohort_month","Country","Number of unique Invoice","recency","frequency","monetary","r_score","f_score","m_score"
12636.0,2009-12-01 00:00:00.000,USA,1,"738 days 02:55:00",1,141.00,1,1,1
17592.0,2009-12-01 00:00:00.000,United Kingdom,2,"738 days 02:01:00",26,0.00,1,2,1
17641.0,2009-12-01 00:00:00.000,United Kingdom,1,"738 days 00:15:00",1,-6.95,1,1,1
17056.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 23:55:00",8,128.60,1,1,1
14654.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 23:53:00",27,246.86,1,2,1
13526.0,2009-12-01 00:00:00.000,United Kingdom,4,"737 days 23:36:00",54,942.60,1,3,3
17485.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 21:58:00",6,-29.55,1,1,1
17087.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 02:09:00",12,221.53,1,1,1
17818.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 01:16:00",46,130.18,1,3,1
15833.0,2009-12-01 00:00:00.000,United Kingdom,1,"737 days 00:51:00",5,80.40,1,1,1
17909.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 23:40:00",9,132.55,1,1,1
17606.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 23:18:00",6,87.30,1,1,1
14106.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 22:41:00",1,214.80,1,1,1
14980.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 22:41:00",24,150.68,1,2,1
16301.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 02:30:00",6,107.33,1,1,1
14347.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 02:01:00",6,82.60,1,1,1
12934.0,2009-12-01 00:00:00.000,United Kingdom,1,"736 days 01:59:00",2,181.65,1,1,1
15794.0,2009-12-01 00:00:00.000,United Kingdom,2,"735 days 23:46:00",15,777.00,1,1,3
17271.0,2009-12-01 00:00:00.000,United Kingdom,1,"735 days 23:01:00",52,210.39,1,3,1
14750.0,2009-12-01 00:00:00.000,United Kingdom,1,"735 days 18:53:00",32,112.03,1,2,1
16645.0,2009-12-01 00:00:00.000,United Kingdom,1,"735 days 03:01:00",14,160.39,1,1,1
16192.0,2009-12-01 00:00:00.000,United Kingdom,1,"735 days 00:22:00",11,351.30,1,1,2
15999.0,2009-12-01 00:00:00.000,United Kingdom,1,"735 days 00:19:00",1,20.40,1,1,1
14979.0,2009-12-01 00:00:00.000,United Kingdom,1,"734 days 23:56:00",53,439.46,1,3,2
16541.0,2009-12-01 00:00:00.000,United Kingdom,2,"734 days 23:28:00",39,419.78,1,3,2
17151.0,2009-12-01 00:00:00.000,United Kingdom,1,"734 days 21:54:00",4,231.90,1,1,1
16410.0,2009-12-01 00:00:00.000,United Kingdom,1,"733 days 21:59:00",5,130.32,1,1,1
16277.0,2009-12-01 00:00:00.000,United Kingdom,1,"733 days 01:23:00",23,188.69,1,2,1
14468.0,2009-12-01 00:00:00.000,United Kingdom,1,"733 days 00:29:00",12,204.24,1,1,1
16964.0,2009-12-01 00:00:00.000,United Kingdom,2,"732 days 23:57:00",6,207.85,1,1,1
14717.0,2009-12-01 00:00:00.000,United Kingdom,2,"732 days 23:45:00",12,72.80,1,1,1
15479.0,2009-12-01 00:00:00.000,United Kingdom,1,"732 days 21:42:00",9,147.40,1,1,1
14123.0,2009-12-01 00:00:00.000,United Kingdom,1,"732 days 21:15:00",24,436.18,1,2,2
14003.0,2009-12-01 00:00:00.000,United Kingdom,1,"732 days 03:57:00",16,209.41,1,1,1
14955.0,2009-12-01 00:00:00.000,United Kingdom,1,"732 days 01:15:00",31,163.77,1,2,1
14574.0,2009-12-01 00:00:00.000,United Kingdom,1,"732 days 00:08:00",11,143.70,1,1,1
18162.0,2009-12-01 00:00:00.000,United Kingdom,1,"731 days 23:26:00",47,379.16,1,3,2
17441.0,2009-12-01 00:00:00.000,United Kingdom,1,"731 days 23:18:00",21,293.35,1,2,2
12443.0,2009-12-01 00:00:00.000,Norway,1,"731 days 21:08:00",21,485.31,1,2,2
14763.0,2009-12-01 00:00:00.000,United Kingdom,1,"731 days 18:51:00",1,-9.95,1,1,1
13025.0,2009-12-01 00:00:00.000,United Kingdom,1,"731 days 02:48:00",13,323.39,1,1,2
14925.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 23:06:00",1,-7.95,1,1,1
14337.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 22:46:00",36,-658.63,1,2,1
16703.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 22:42:00",1,-15.00,1,1,1
13204.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 21:54:00",57,966.66,1,3,3
15924.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 21:50:00",15,102.82,1,1,1
17178.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 20:30:00",32,436.71,1,2,2
14864.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 19:43:00",2,-48.75,1,1,1
16853.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 19:18:00",2,-67.50,1,1,1
12896.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 03:22:00",1,-29.75,1,1,1
13114.0,2009-12-01 00:00:00.000,United Kingdom,1,"730 days 02:54:00",16,234.38,1,1,1
12487.0,2009-12-01 00:00:00.000,Sweden,2,"730 days 01:14:00",3,259.80,1,1,2
17296.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 22:49:00",33,338.13,1,2,2
13498.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 21:24:00",17,327.38,1,2,2
15209.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 19:24:00",13,178.98,1,1,1
15085.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 01:03:00",9,347.54,1,1,2
15642.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 00:59:00",6,105.78,1,1,1
16459.0,2009-12-01 00:00:00.000,United Kingdom,1,"729 days 00:08:00",5,71.79,1,1,1
16663.0,2009-12-01 00:00:00.000,United Kingdom,1,"728 days 23:38:00",1,165.00,1,1,1
12979.0,2009-12-01 00:00:00.000,United Arab Emirates,2,"728 days 20:53:00",57,479.54,1,3,2
16901.0,2009-12-01 00:00:00.000,United Kingdom,1,"728 days 20:20:00",23,204.26,1,2,1
15162.0,2009-12-01 00:00:00.000,United Kingdom,2,"728 days 01:19:00",16,241.50,1,1,1
16580.0,2009-12-01 00:00:00.000,United Kingdom,1,"728 days 00:10:00",2,-5.00,1,1,1
17645.0,2009-12-01 00:00:00.000,United Kingdom,1,"727 days 23:19:00",1,-9.90,1,1,1
16220.0,2009-12-01 00:00:00.000,United Kingdom,1,"727 days 23:14:00",1,-10.17,1,1,1
16512.0,2009-12-01 00:00:00.000,United Kingdom,1,"727 days 22:19:00",1,-33.90,1,1,1
17487.0,2009-12-01 00:00:00.000,United Kingdom,1,"727 days 21:44:00",8,160.55,1,1,1
17066.0,2009-12-01 00:00:00.000,United Kingdom,1,"725 days 23:26:00",18,228.34,1,2,1
13087.0,2009-12-01 00:00:00.000,United Kingdom,1,"725 days 21:34:00",15,313.64,1,1,2
17910.0,2009-12-01 00:00:00.000,United Kingdom,1,"725 days 20:46:00",26,261.70,1,2,2
14977.0,2009-12-01 00:00:00.000,United Kingdom,1,"725 days 02:13:00",4,31.93,1,1,1
15534.0,2009-12-01 00:00:00.000,United Kingdom,1,"725 days 00:02:00",8,162.25,1,1,1
17318.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 23:39:00",18,164.28,1,2,1
15188.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 23:20:00",23,310.43,1,2,2
14042.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 21:43:00",21,431.98,1,2,2
16280.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 21:01:00",16,238.05,1,1,1
16064.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 20:39:00",18,111.00,1,2,1
12992.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 20:04:00",6,93.35,1,1,1
15672.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 19:58:00",3,45.30,1,1,1
17012.0,2009-12-01 00:00:00.000,United Kingdom,1,"724 days 19:16:00",42,384.16,1,3,2
