"Country","total amount","Number of active users"
United Kingdom,16382583.82,5410
EIRE,615519.55,5
Netherlands,548524.95,23
Germany,417988.56,107
France,328191.80,95
Australia,167129.07,15
Switzerland,99728.76,22
Spain,91859.48,41
Sweden,87809.42,19
Denmark,65741.09,12
Belgium,63574.49,29
Portugal,53136.80,24
Japan,43776.58,10
Channel Islands,41453.61,14
Norway,39243.03,13
Italy,30679.35,17
Finland,29514.45,15
Cyprus,24162.74,11
Austria,23177.60,13
Greece,18995.49,5
Hong Kong,14039.30,0
Singapore,13158.16,1
Israel,11107.22,4
Poland,10528.09,6
United Arab Emirates,9948.65,4
Unspecified,9687.32,7
Lithuania,6553.74,1
USA,6286.54,9
Iceland,5633.32,1
Malta,5192.22,2
Canada,4883.04,5
RSA,3369.03,2
Thailand,3070.54,1
Bahrain,2861.55,2
Lebanon,1865.91,1
Brazil,1411.87,2
European Community,1291.75,1
Bermuda,1253.14,0
Korea,949.82,2
Czech Republic,707.72,1
West Indies,536.41,1
Saudi Arabia,131.17,1
Nigeria,-6.66,1
