"Customer ID","cohort_month","Revenue For the Client","Country","Number of unique Invoice","r_score","f_score","m_score"
12636.0,2009-12-01 00:00:00.000,141.00,USA,1,1,1,1
17592.0,2009-12-01 00:00:00.000,0.00,United Kingdom,2,1,2,1
17641.0,2009-12-01 00:00:00.000,-6.95,United Kingdom,1,1,1,1
17056.0,2009-12-01 00:00:00.000,128.60,United Kingdom,1,1,1,1
14654.0,2009-12-01 00:00:00.000,246.86,United Kingdom,1,1,2,1
13526.0,2009-12-01 00:00:00.000,942.60,United Kingdom,4,1,3,3
17485.0,2009-12-01 00:00:00.000,-29.55,United Kingdom,1,1,1,1
17087.0,2009-12-01 00:00:00.000,221.53,United Kingdom,1,1,1,1
17818.0,2009-12-01 00:00:00.000,130.18,United Kingdom,1,1,3,1
15833.0,2009-12-01 00:00:00.000,80.40,United Kingdom,1,1,1,1
17909.0,2009-12-01 00:00:00.000,132.55,United Kingdom,1,1,1,1
17606.0,2009-12-01 00:00:00.000,87.30,United Kingdom,1,1,1,1
14106.0,2009-12-01 00:00:00.000,214.80,United Kingdom,1,1,1,1
14980.0,2009-12-01 00:00:00.000,150.68,United Kingdom,1,1,2,1
16301.0,2009-12-01 00:00:00.000,107.33,United Kingdom,1,1,1,1
14347.0,2009-12-01 00:00:00.000,82.60,United Kingdom,1,1,1,1
12934.0,2009-12-01 00:00:00.000,181.65,United Kingdom,1,1,1,1
15794.0,2009-12-01 00:00:00.000,777.00,United Kingdom,2,1,1,3
17271.0,2009-12-01 00:00:00.000,210.39,United Kingdom,1,1,3,1
14750.0,2009-12-01 00:00:00.000,112.03,United Kingdom,1,1,2,1
16645.0,2009-12-01 00:00:00.000,160.39,United Kingdom,1,1,1,1
16192.0,2009-12-01 00:00:00.000,351.30,United Kingdom,1,1,1,2
15999.0,2009-12-01 00:00:00.000,20.40,United Kingdom,1,1,1,1
14979.0,2009-12-01 00:00:00.000,439.46,United Kingdom,1,1,3,2
16541.0,2009-12-01 00:00:00.000,419.78,United Kingdom,2,1,3,2
17151.0,2009-12-01 00:00:00.000,231.90,United Kingdom,1,1,1,1
16410.0,2009-12-01 00:00:00.000,130.32,United Kingdom,1,1,1,1
16277.0,2009-12-01 00:00:00.000,188.69,United Kingdom,1,1,2,1
14468.0,2009-12-01 00:00:00.000,204.24,United Kingdom,1,1,1,1
16964.0,2009-12-01 00:00:00.000,207.85,United Kingdom,2,1,1,1
14717.0,2009-12-01 00:00:00.000,72.80,United Kingdom,2,1,1,1
15479.0,2009-12-01 00:00:00.000,147.40,United Kingdom,1,1,1,1
