"Customer ID","cohort_month","Country","Number of unique Invoice","recency_days","frequency","monetary","r_score","f_score","m_score"
12636.0,2009-12-01 00:00:00.000,USA,1,738,1,141.00,1,1,1
17592.0,2009-12-01 00:00:00.000,United Kingdom,2,738,26,0.00,1,2,1
17641.0,2009-12-01 00:00:00.000,United Kingdom,1,738,1,-6.95,1,1,1
17056.0,2009-12-01 00:00:00.000,United Kingdom,1,737,8,128.60,1,1,1
14654.0,2009-12-01 00:00:00.000,United Kingdom,1,737,27,246.86,1,2,1
13526.0,2009-12-01 00:00:00.000,United Kingdom,4,737,54,942.60,1,3,3
17485.0,2009-12-01 00:00:00.000,United Kingdom,1,737,6,-29.55,1,1,1
17087.0,2009-12-01 00:00:00.000,United Kingdom,1,737,12,221.53,1,1,1
17818.0,2009-12-01 00:00:00.000,United Kingdom,1,737,46,130.18,1,3,1
15833.0,2009-12-01 00:00:00.000,United Kingdom,1,737,5,80.40,1,1,1
17909.0,2009-12-01 00:00:00.000,United Kingdom,1,736,9,132.55,1,1,1
17606.0,2009-12-01 00:00:00.000,United Kingdom,1,736,6,87.30,1,1,1
14106.0,2009-12-01 00:00:00.000,United Kingdom,1,736,1,214.80,1,1,1
14980.0,2009-12-01 00:00:00.000,United Kingdom,1,736,24,150.68,1,2,1
16301.0,2009-12-01 00:00:00.000,United Kingdom,1,736,6,107.33,1,1,1
14347.0,2009-12-01 00:00:00.000,United Kingdom,1,736,6,82.60,1,1,1
12934.0,2009-12-01 00:00:00.000,United Kingdom,1,736,2,181.65,1,1,1
15794.0,2009-12-01 00:00:00.000,United Kingdom,2,735,15,777.00,1,1,3
17271.0,2009-12-01 00:00:00.000,United Kingdom,1,735,52,210.39,1,3,1
14750.0,2009-12-01 00:00:00.000,United Kingdom,1,735,32,112.03,1,2,1
16645.0,2009-12-01 00:00:00.000,United Kingdom,1,735,14,160.39,1,1,1
16192.0,2009-12-01 00:00:00.000,United Kingdom,1,735,11,351.30,1,1,2
15999.0,2009-12-01 00:00:00.000,United Kingdom,1,735,1,20.40,1,1,1
14979.0,2009-12-01 00:00:00.000,United Kingdom,1,734,53,439.46,1,3,2
16541.0,2009-12-01 00:00:00.000,United Kingdom,2,734,39,419.78,1,3,2
17151.0,2009-12-01 00:00:00.000,United Kingdom,1,734,4,231.90,1,1,1
16410.0,2009-12-01 00:00:00.000,United Kingdom,1,733,5,130.32,1,1,1
16277.0,2009-12-01 00:00:00.000,United Kingdom,1,733,23,188.69,1,2,1
14468.0,2009-12-01 00:00:00.000,United Kingdom,1,733,12,204.24,1,1,1
16964.0,2009-12-01 00:00:00.000,United Kingdom,2,732,6,207.85,1,1,1
14717.0,2009-12-01 00:00:00.000,United Kingdom,2,732,12,72.80,1,1,1
15479.0,2009-12-01 00:00:00.000,United Kingdom,1,732,9,147.40,1,1,1
14123.0,2009-12-01 00:00:00.000,United Kingdom,1,732,24,436.18,1,2,2
14003.0,2009-12-01 00:00:00.000,United Kingdom,1,732,16,209.41,1,1,1
14955.0,2009-12-01 00:00:00.000,United Kingdom,1,732,31,163.77,1,2,1
14574.0,2009-12-01 00:00:00.000,United Kingdom,1,732,11,143.70,1,1,1
18162.0,2009-12-01 00:00:00.000,United Kingdom,1,731,47,379.16,1,3,2
17441.0,2009-12-01 00:00:00.000,United Kingdom,1,731,21,293.35,1,2,2
12443.0,2009-12-01 00:00:00.000,Norway,1,731,21,485.31,1,2,2
14763.0,2009-12-01 00:00:00.000,United Kingdom,1,731,1,-9.95,1,1,1
13025.0,2009-12-01 00:00:00.000,United Kingdom,1,731,13,323.39,1,1,2
14925.0,2009-12-01 00:00:00.000,United Kingdom,1,730,1,-7.95,1,1,1
14337.0,2009-12-01 00:00:00.000,United Kingdom,1,730,36,-658.63,1,2,1
16703.0,2009-12-01 00:00:00.000,United Kingdom,1,730,1,-15.00,1,1,1
13204.0,2009-12-01 00:00:00.000,United Kingdom,1,730,57,966.66,1,3,3
15924.0,2009-12-01 00:00:00.000,United Kingdom,1,730,15,102.82,1,1,1
17178.0,2009-12-01 00:00:00.000,United Kingdom,1,730,32,436.71,1,2,2
14864.0,2009-12-01 00:00:00.000,United Kingdom,1,730,2,-48.75,1,1,1
16853.0,2009-12-01 00:00:00.000,United Kingdom,1,730,2,-67.50,1,1,1
12896.0,2009-12-01 00:00:00.000,United Kingdom,1,730,1,-29.75,1,1,1
13114.0,2009-12-01 00:00:00.000,United Kingdom,1,730,16,234.38,1,1,1
12487.0,2009-12-01 00:00:00.000,Sweden,2,730,3,259.80,1,1,2
17296.0,2009-12-01 00:00:00.000,United Kingdom,1,729,33,338.13,1,2,2
13498.0,2009-12-01 00:00:00.000,United Kingdom,1,729,17,327.38,1,2,2
15209.0,2009-12-01 00:00:00.000,United Kingdom,1,729,13,178.98,1,1,1
15085.0,2009-12-01 00:00:00.000,United Kingdom,1,729,9,347.54,1,1,2
15642.0,2009-12-01 00:00:00.000,United Kingdom,1,729,6,105.78,1,1,1
16459.0,2009-12-01 00:00:00.000,United Kingdom,1,729,5,71.79,1,1,1
16663.0,2009-12-01 00:00:00.000,United Kingdom,1,728,1,165.00,1,1,1
12979.0,2009-12-01 00:00:00.000,United Arab Emirates,2,728,57,479.54,1,3,2
16901.0,2009-12-01 00:00:00.000,United Kingdom,1,728,23,204.26,1,2,1
15162.0,2009-12-01 00:00:00.000,United Kingdom,2,728,16,241.50,1,1,1
16580.0,2009-12-01 00:00:00.000,United Kingdom,1,728,2,-5.00,1,1,1
17645.0,2009-12-01 00:00:00.000,United Kingdom,1,727,1,-9.90,1,1,1
16220.0,2009-12-01 00:00:00.000,United Kingdom,1,727,1,-10.17,1,1,1
16512.0,2009-12-01 00:00:00.000,United Kingdom,1,727,1,-33.90,1,1,1
17487.0,2009-12-01 00:00:00.000,United Kingdom,1,727,8,160.55,1,1,1
17066.0,2009-12-01 00:00:00.000,United Kingdom,1,725,18,228.34,1,2,1
13087.0,2009-12-01 00:00:00.000,United Kingdom,1,725,15,313.64,1,1,2
17910.0,2009-12-01 00:00:00.000,United Kingdom,1,725,26,261.70,1,2,2
14977.0,2009-12-01 00:00:00.000,United Kingdom,1,725,4,31.93,1,1,1
15534.0,2009-12-01 00:00:00.000,United Kingdom,1,725,8,162.25,1,1,1
17318.0,2009-12-01 00:00:00.000,United Kingdom,1,724,18,164.28,1,2,1
15188.0,2009-12-01 00:00:00.000,United Kingdom,1,724,23,310.43,1,2,2
14042.0,2009-12-01 00:00:00.000,United Kingdom,1,724,21,431.98,1,2,2
16280.0,2009-12-01 00:00:00.000,United Kingdom,1,724,16,238.05,1,1,1
16064.0,2009-12-01 00:00:00.000,United Kingdom,1,724,18,111.00,1,2,1
12992.0,2009-12-01 00:00:00.000,United Kingdom,1,724,6,93.35,1,1,1
15672.0,2009-12-01 00:00:00.000,United Kingdom,1,724,3,45.30,1,1,1
17012.0,2009-12-01 00:00:00.000,United Kingdom,1,724,42,384.16,1,3,2
17067.0,2009-12-01 00:00:00.000,United Kingdom,3,724,13,454.54,1,1,2
12941.0,2009-12-01 00:00:00.000,United Kingdom,1,723,27,377.49,1,2,2
16605.0,2009-12-01 00:00:00.000,United Kingdom,1,723,1,60.48,1,1,1
13289.0,2009-12-01 00:00:00.000,United Kingdom,1,723,16,307.95,1,1,2
15499.0,2009-12-01 00:00:00.000,United Kingdom,1,723,42,161.60,1,3,1
18012.0,2009-12-01 00:00:00.000,United Kingdom,1,722,13,115.30,1,1,1
17833.0,2009-12-01 00:00:00.000,United Kingdom,1,722,32,342.36,1,2,2
16195.0,2009-12-01 00:00:00.000,United Kingdom,1,722,16,323.25,1,1,2
16694.0,2009-12-01 00:00:00.000,United Kingdom,1,722,3,98.30,1,1,1
18201.0,2009-12-01 00:00:00.000,United Kingdom,1,722,27,447.53,1,2,2
18186.0,2009-12-01 00:00:00.000,United Kingdom,1,722,11,329.58,1,1,2
14095.0,2009-12-01 00:00:00.000,United Kingdom,1,722,1,2.95,1,1,1
16908.0,2009-12-01 00:00:00.000,United Kingdom,2,721,21,153.59,1,2,1
17103.0,2009-12-01 00:00:00.000,United Kingdom,1,721,32,424.30,1,2,2
16439.0,2009-12-01 00:00:00.000,United Kingdom,1,721,9,310.70,1,1,2
15302.0,2009-12-01 00:00:00.000,United Kingdom,2,721,16,291.05,1,1,2
17927.0,2009-12-01 00:00:00.000,United Kingdom,1,721,10,294.00,1,1,2
13847.0,2009-12-01 00:00:00.000,United Kingdom,1,719,19,310.72,1,2,2
13111.0,2009-12-01 00:00:00.000,United Kingdom,1,718,12,321.88,1,1,2
17632.0,2009-12-01 00:00:00.000,United Kingdom,2,716,2,-12.70,1,1,1
14969.0,2010-01-01 00:00:00.000,United Kingdom,1,703,13,906.23,1,1,3
15409.0,2009-12-01 00:00:00.000,United Kingdom,2,701,12,117.20,1,1,1
15324.0,2010-01-01 00:00:00.000,United Kingdom,1,700,8,140.22,1,1,1
13749.0,2010-01-01 00:00:00.000,United Kingdom,1,700,2,-10.25,1,1,1
18115.0,2010-01-01 00:00:00.000,United Kingdom,1,697,3,9.70,1,1,1
17945.0,2010-01-01 00:00:00.000,United Kingdom,3,696,72,360.35,1,3,2
17352.0,2010-01-01 00:00:00.000,United Kingdom,1,695,5,36.25,1,1,1
16304.0,2010-01-01 00:00:00.000,United Kingdom,1,694,25,381.66,1,2,2
12860.0,2010-01-01 00:00:00.000,United Kingdom,1,692,17,55.47,1,2,1
13907.0,2010-01-01 00:00:00.000,United Kingdom,1,691,4,136.80,1,1,1
14892.0,2010-01-01 00:00:00.000,United Kingdom,1,690,13,202.35,1,1,1
15375.0,2010-01-01 00:00:00.000,United Kingdom,1,689,6,60.96,1,1,1
15697.0,2010-01-01 00:00:00.000,United Kingdom,1,689,14,246.75,1,1,1
16867.0,2010-01-01 00:00:00.000,United Kingdom,1,689,6,76.74,1,1,1
12470.0,2010-01-01 00:00:00.000,Unspecified,1,689,23,211.95,1,2,1
13315.0,2010-01-01 00:00:00.000,United Kingdom,1,688,22,310.26,1,2,2
14983.0,2010-01-01 00:00:00.000,United Kingdom,1,688,30,183.20,1,2,1
13457.0,2009-12-01 00:00:00.000,United Kingdom,4,688,11,143.27,1,1,1
13622.0,2010-01-01 00:00:00.000,United Kingdom,2,688,34,651.45,1,2,3
17875.0,2010-01-01 00:00:00.000,United Kingdom,1,687,26,167.10,1,2,1
14207.0,2010-01-01 00:00:00.000,United Kingdom,1,687,2,157.80,1,1,1
17794.0,2010-01-01 00:00:00.000,United Kingdom,2,686,7,147.30,1,1,1
14274.0,2010-01-01 00:00:00.000,United Kingdom,1,685,15,256.60,1,1,1
