"day","Revenue Per This Day","Number of active users","ARPDAU"
2009-12-01 00:00:00.000,53173.03,117,454.47
2009-12-02 00:00:00.000,62763.59,98,640.44
2009-12-03 00:00:00.000,68093.05,116,587.01
2009-12-04 00:00:00.000,40346.40,82,492.03
2009-12-05 00:00:00.000,9803.05,26,377.04
2009-12-06 00:00:00.000,24317.20,63,385.99
2009-12-07 00:00:00.000,44337.02,88,503.83
2009-12-08 00:00:00.000,43743.14,135,324.02
2009-12-09 00:00:00.000,40396.55,77,524.63
2009-12-10 00:00:00.000,43342.48,97,446.83
2009-12-11 00:00:00.000,38424.92,94,408.78
2009-12-13 00:00:00.000,22065.99,63,350.25
2009-12-14 00:00:00.000,72898.24,81,899.98
2009-12-15 00:00:00.000,47636.66,92,517.79
2009-12-16 00:00:00.000,52681.20,83,634.71
2009-12-17 00:00:00.000,29317.79,117,250.58
2009-12-18 00:00:00.000,42371.08,56,756.63
2009-12-20 00:00:00.000,11335.23,35,323.86
2009-12-21 00:00:00.000,14576.07,33,441.70
2009-12-22 00:00:00.000,27481.74,32,858.80
2009-12-23 00:00:00.000,10742.68,15,716.18
2010-01-04 00:00:00.000,13200.60,29,455.19
2010-01-05 00:00:00.000,19102.34,31,616.20
2010-01-06 00:00:00.000,8746.18,13,672.78
2010-01-07 00:00:00.000,72307.92,71,1018.42
2010-01-08 00:00:00.000,29516.63,42,702.78
2010-01-10 00:00:00.000,23519.92,29,811.03
2010-01-11 00:00:00.000,37492.39,43,871.92
2010-01-12 00:00:00.000,40690.83,34,1196.79
2010-01-13 00:00:00.000,19399.93,42,461.90
2010-01-14 00:00:00.000,28543.28,62,460.38
2010-01-15 00:00:00.000,13298.54,41,324.35
2010-01-17 00:00:00.000,17565.94,35,501.88
2010-01-18 00:00:00.000,21343.23,33,646.76
2010-01-19 00:00:00.000,32987.87,44,749.72
2010-01-20 00:00:00.000,16739.51,60,278.99
2010-01-21 00:00:00.000,26967.89,53,508.83
2010-01-22 00:00:00.000,34695.19,40,867.38
2010-01-24 00:00:00.000,16043.85,48,334.25
2010-01-25 00:00:00.000,22803.36,45,506.74
2010-01-26 00:00:00.000,45406.84,99,458.65
2010-01-27 00:00:00.000,28480.38,57,499.66
2010-01-28 00:00:00.000,19238.16,57,337.51
2010-01-29 00:00:00.000,17491.98,51,342.98
2010-01-31 00:00:00.000,18450.13,48,384.38
2010-02-01 00:00:00.000,19265.29,51,377.75
2010-02-02 00:00:00.000,21002.99,41,512.27
2010-02-03 00:00:00.000,21308.25,45,473.52
2010-02-04 00:00:00.000,22659.88,52,435.77
2010-02-05 00:00:00.000,20801.16,53,392.47
2010-02-07 00:00:00.000,16823.77,29,580.13
2010-02-08 00:00:00.000,15989.82,47,340.21
2010-02-09 00:00:00.000,19608.09,52,377.08
2010-02-10 00:00:00.000,9094.52,26,349.79
2010-02-11 00:00:00.000,14968.64,50,299.37
2010-02-12 00:00:00.000,11324.41,31,365.30
2010-02-14 00:00:00.000,17751.50,41,432.96
2010-02-15 00:00:00.000,41091.23,37,1110.57
2010-02-16 00:00:00.000,30953.13,57,543.04
