"Customer ID","recency","frequency","monetary"
12648.0,"154 days 00:55:00",66,1097.00
17896.0,"22 days 22:51:00",2,256.32
17180.0,"55 days 21:04:00",414,2236.33
14601.0,"10 days 03:02:00",7,213.96
15133.0,"127 days 02:06:00",49,1806.90
14506.0,"16 days 23:48:00",472,3290.67
15309.0,"610 days 01:39:00",61,715.53
14960.0,"7 days 23:56:00",27,221.27
16943.0,"211 days 00:53:00",37,816.73
12789.0,"64 days 23:16:00",8,273.35
17427.0,"71 days 01:21:00",2,100.80
12576.0,"35 days 02:39:00",147,2083.87
15940.0,"310 days 20:29:00",3,0.00
16435.0,"511 days 18:28:00",126,1011.57
17475.0,"78 days 21:55:00",14,194.37
12458.0,"70 days 21:25:00",84,1777.49
13824.0,"32 days 00:09:00",104,3273.36
15604.0,"51 days 22:03:00",17,216.39
17191.0,"27 days 19:52:00",576,4810.55
14678.0,"570 days 22:23:00",25,386.44
15468.0,"34 days 23:39:00",88,1387.48
17605.0,"589 days 22:05:00",13,160.75
17678.0,"263 days 00:58:00",29,579.81
17670.0,"227 days 03:38:00",11,205.70
14964.0,"246 days 22:37:00",13,206.21
13517.0,"59 days 01:07:00",143,2109.07
14995.0,"38 days 01:11:00",61,233.23
14854.0,"77 days 19:50:00",222,4302.17
18107.0,"441 days 23:47:00",39,167.13
17404.0,"3 days 20:24:00",297,46006.82
17181.0,"56 days 22:02:00",30,465.37
14666.0,"23 days 23:53:00",14,195.25
15806.0,"45 days 22:15:00",31,784.58
14606.0,"17:22:00",6709,30094.38
16741.0,"624 days 21:35:00",11,173.06
15478.0,"39 days 22:31:00",71,2024.98
13318.0,"17:59:00",20,640.76
12562.0,"7 days 19:30:00",207,4966.92
15704.0,"139 days 23:15:00",209,3744.18
13120.0,"238 days 02:31:00",1,30.60
17515.0,"30 days 22:46:00",180,1617.46
16225.0,"44 days 04:20:00",307,2821.91
13751.0,"287 days 20:54:00",9,296.25
12949.0,"30 days 01:25:00",725,15391.00
12728.0,"70 days 21:19:00",61,1070.17
17011.0,"29 days 23:20:00",29,536.70
13345.0,"276 days 04:16:00",22,377.60
14003.0,"732 days 03:57:00",16,209.41
13496.0,"10 days 01:52:00",36,617.93
13421.0,"39 days 22:29:00",275,4088.82
13406.0,"426 days 22:06:00",10,557.22
14903.0,"20 days 20:43:00",364,2744.48
13557.0,"27 days 21:26:00",183,2980.08
12708.0,"29 days 02:58:00",336,5118.16
14263.0,"422 days 22:41:00",16,322.93
16664.0,"568 days 19:39:00",8,109.20
13476.0,"178 days 00:50:00",109,1915.77
14784.0,"25 days 23:20:00",27,449.93
16471.0,"274 days 03:09:00",64,1186.18
14709.0,"14 days 21:09:00",359,8866.48
15959.0,"681 days 20:12:00",78,579.49
13683.0,"457 days 02:50:00",10,258.60
16998.0,"149 days 03:01:00",8,394.02
12955.0,"20:21:00",183,4734.26
16541.0,"734 days 23:28:00",39,419.78
12360.0,"51 days 21:28:00",218,4212.89
13026.0,"19:52:00",86,1690.12
18037.0,"153 days 23:11:00",33,167.42
14950.0,"8 days 03:08:00",20,361.25
16005.0,"11 days 23:03:00",515,2403.77
14637.0,"676 days 20:58:00",7,106.68
15244.0,"64 days 23:31:00",50,850.18
15877.0,"1 day 00:53:00",131,440.78
15091.0,"53 days 02:03:00",60,1023.11
14062.0,"9 days 02:46:00",348,25434.83
15199.0,"58 days 21:38:00",51,3122.40
17634.0,"35 days 23:41:00",297,2361.97
13156.0,"384 days 23:41:00",104,1586.54
16597.0,"3 days 21:06:00",7,90.04
17665.0,"492 days 23:38:00",19,563.10
13969.0,"6 days 21:39:00",1115,13212.77
16119.0,"7 days 21:39:00",54,1720.81
12763.0,"137 days 22:38:00",34,814.16
14769.0,"2 days 02:26:00",1436,15696.67
18143.0,"116 days 00:43:00",61,1000.16
13076.0,"457 days 02:23:00",9,135.40
13365.0,"8 days 04:11:00",134,2164.32
13133.0,"273 days 02:19:00",12,200.45
16214.0,"170 days 01:20:00",98,2038.25
16533.0,"18 days 23:42:00",181,1026.94
13755.0,"3 days 00:24:00",343,2154.68
17715.0,"200 days 00:18:00",2,489.60
15665.0,"167 days 21:53:00",288,4015.12
13336.0,"76 days 22:45:00",51,795.12
12415.0,"23 days 22:28:00",990,143269.29
18213.0,"236 days 02:29:00",15,232.48
13452.0,"258 days 22:31:00",3,729.80
16751.0,"30 days 02:02:00",25,1764.72
15377.0,"382 days 03:55:00",22,1179.95
13889.0,"92 days 03:37:00",90,1855.73
13614.0,"23 days 22:03:00",271,2359.19
15652.0,"90 days 22:28:00",105,1411.84
16008.0,"23 days 02:18:00",254,5384.13
15420.0,"433 days 21:04:00",56,743.00
15150.0,"16 days 23:58:00",576,8990.58
13800.0,"309 days 00:23:00",73,1679.56
14614.0,"385 days 23:46:00",19,295.13
14689.0,"208 days 01:28:00",13,112.80
13966.0,"434 days 23:42:00",22,390.86
16685.0,"60 days 22:52:00",62,324.24
14536.0,"259 days 00:29:00",19,171.80
14427.0,"49 days 22:27:00",44,1263.52
13029.0,"30 days 03:37:00",17,1927.30
16537.0,"640 days 23:09:00",4,23.35
13744.0,"94 days 21:31:00",72,1156.36
15575.0,"619 days",3,30.10
13682.0,"186 days 22:44:00",3,59.50
16011.0,"7 days 20:19:00",457,5867.01
15866.0,"100 days 22:41:00",45,230.53
16870.0,"468 days 22:57:00",28,450.16
16455.0,"63 days 00:33:00",228,4306.72
16885.0,"14 days 23:10:00",142,710.74
13193.0,"60 days 22:20:00",29,117.88
13993.0,"31 days 23:50:00",267,6690.36
16358.0,"21:41:00",155,2917.10
13740.0,"240 days 02:18:00",95,1597.77
15186.0,"13 days 21:52:00",52,1403.20
13530.0,"633 days 22:40:00",18,402.98
16029.0,"38 days 02:23:00",420,91800.91
13842.0,"58 days 01:59:00",358,5604.96
13270.0,"365 days 21:57:00",2,1180.00
16756.0,"214 days 03:17:00",82,1287.42
17772.0,"10 days 01:45:00",105,384.77
16642.0,"4 days 01:19:00",57,1051.46
12707.0,"291 days 04:12:00",33,603.42
18171.0,"58 days 03:37:00",94,2414.51
14653.0,"23:05:00",386,3614.54
15195.0,"2 days 00:30:00",1,3861.00
12822.0,"70 days 02:46:00",47,918.98
17653.0,"28 days 22:24:00",50,1175.88
13907.0,"691 days 00:28:00",4,136.80
15917.0,"247 days 02:10:00",155,560.63
16104.0,"61 days 02:27:00",242,2515.36
13787.0,"75 days 00:44:00",94,1173.70
16838.0,"196 days 23:37:00",61,1126.66
14257.0,"50 days 23:12:00",241,5942.00
13233.0,"73 days 23:25:00",76,1176.46
15878.0,"561 days 00:33:00",51,330.77
16016.0,"2 days 22:15:00",387,2495.04
13722.0,"119 days 21:24:00",190,5629.16
16586.0,"248 days 03:18:00",28,1462.78
14270.0,"331 days 03:17:00",29,492.65
15898.0,"21:27:00",703,5534.36
12716.0,"3 days 03:55:00",69,1053.49
17097.0,"1 day 19:45:00",312,1323.95
17467.0,"394 days 23:52:00",4,102.60
15770.0,"612 days 01:03:00",18,321.45
15859.0,"431 days 23:58:00",22,438.46
17659.0,"3 days 03:21:00",208,3784.13
