"Customer ID","rfm_segment","r_score","f_score","m_score"
12636.0,"111",1,1,1
17592.0,"121",1,2,1
17641.0,"111",1,1,1
17056.0,"111",1,1,1
14654.0,"121",1,2,1
13526.0,"133",1,3,3
17485.0,"111",1,1,1
17087.0,"111",1,1,1
17818.0,"131",1,3,1
15833.0,"111",1,1,1
17909.0,"111",1,1,1
17606.0,"111",1,1,1
14106.0,"111",1,1,1
14980.0,"121",1,2,1
16301.0,"111",1,1,1
14347.0,"111",1,1,1
12934.0,"111",1,1,1
15794.0,"113",1,1,3
17271.0,"131",1,3,1
14750.0,"121",1,2,1
16645.0,"111",1,1,1
16192.0,"112",1,1,2
15999.0,"111",1,1,1
14979.0,"132",1,3,2
16541.0,"132",1,3,2
17151.0,"111",1,1,1
16410.0,"111",1,1,1
16277.0,"121",1,2,1
14468.0,"111",1,1,1
16964.0,"111",1,1,1
14717.0,"111",1,1,1
15479.0,"111",1,1,1
14123.0,"122",1,2,2
14003.0,"111",1,1,1
14955.0,"121",1,2,1
14574.0,"111",1,1,1
18162.0,"132",1,3,2
17441.0,"122",1,2,2
12443.0,"122",1,2,2
14763.0,"111",1,1,1
13025.0,"112",1,1,2
14925.0,"111",1,1,1
14337.0,"121",1,2,1
16703.0,"111",1,1,1
13204.0,"133",1,3,3
15924.0,"111",1,1,1
17178.0,"122",1,2,2
14864.0,"111",1,1,1
16853.0,"111",1,1,1
12896.0,"111",1,1,1
13114.0,"111",1,1,1
12487.0,"112",1,1,2
17296.0,"122",1,2,2
13498.0,"122",1,2,2
15209.0,"111",1,1,1
15085.0,"112",1,1,2
15642.0,"111",1,1,1
16459.0,"111",1,1,1
16663.0,"111",1,1,1
12979.0,"132",1,3,2
16901.0,"121",1,2,1
15162.0,"111",1,1,1
16580.0,"111",1,1,1
17645.0,"111",1,1,1
16220.0,"111",1,1,1
16512.0,"111",1,1,1
17487.0,"111",1,1,1
17066.0,"121",1,2,1
13087.0,"112",1,1,2
17910.0,"122",1,2,2
14977.0,"111",1,1,1
15534.0,"111",1,1,1
17318.0,"121",1,2,1
15188.0,"122",1,2,2
14042.0,"122",1,2,2
16280.0,"111",1,1,1
16064.0,"121",1,2,1
12992.0,"111",1,1,1
15672.0,"111",1,1,1
17012.0,"132",1,3,2
17067.0,"112",1,1,2
12941.0,"122",1,2,2
16605.0,"111",1,1,1
13289.0,"112",1,1,2
15499.0,"131",1,3,1
18012.0,"111",1,1,1
17833.0,"122",1,2,2
16195.0,"112",1,1,2
16694.0,"111",1,1,1
18201.0,"122",1,2,2
18186.0,"112",1,1,2
14095.0,"111",1,1,1
16908.0,"121",1,2,1
17103.0,"122",1,2,2
16439.0,"112",1,1,2
15302.0,"122",1,2,2
17927.0,"112",1,1,2
13847.0,"122",1,2,2
13111.0,"112",1,1,2
17632.0,"111",1,1,1
14969.0,"113",1,1,3
15409.0,"111",1,1,1
15324.0,"111",1,1,1
13749.0,"111",1,1,1
18115.0,"111",1,1,1
17945.0,"132",1,3,2
17352.0,"111",1,1,1
16304.0,"122",1,2,2
12860.0,"121",1,2,1
13907.0,"111",1,1,1
14892.0,"111",1,1,1
15375.0,"111",1,1,1
15697.0,"111",1,1,1
16867.0,"111",1,1,1
12470.0,"121",1,2,1
13315.0,"122",1,2,2
14983.0,"121",1,2,1
13457.0,"111",1,1,1
13622.0,"123",1,2,3
17875.0,"121",1,2,1
14207.0,"111",1,1,1
17794.0,"111",1,1,1
14274.0,"111",1,1,1
14879.0,"121",1,2,1
13036.0,"112",1,1,2
14070.0,"132",1,3,2
14751.0,"111",1,1,1
14519.0,"131",1,3,1
14376.0,"121",1,2,1
12439.0,"133",1,3,3
16154.0,"111",1,1,1
12606.0,"111",1,1,1
15383.0,"111",1,1,1
13054.0,"111",1,1,1
12404.0,"111",1,1,1
12382.0,"111",1,1,1
12706.0,"111",1,1,1
12466.0,"111",1,1,1
12555.0,"111",1,1,1
16291.0,"111",1,1,1
12846.0,"111",1,1,1
16575.0,"111",1,1,1
13664.0,"111",1,1,1
16047.0,"111",1,1,1
15959.0,"142",1,4,2
17130.0,"111",1,1,1
15357.0,"111",1,1,1
13528.0,"111",1,1,1
12570.0,"111",1,1,1
16051.0,"111",1,1,1
14137.0,"112",1,1,2
12869.0,"122",1,2,2
17982.0,"111",1,1,1
14613.0,"111",1,1,1
16137.0,"122",1,2,2
17943.0,"111",1,1,1
15487.0,"111",1,1,1
16802.0,"132",1,3,2
16673.0,"121",1,2,1
15588.0,"112",1,1,2
13392.0,"111",1,1,1
15338.0,"132",1,3,2
14637.0,"111",1,1,1
15317.0,"111",1,1,1
13628.0,"112",1,1,2
18199.0,"122",1,2,2
18175.0,"111",1,1,1
12848.0,"121",1,2,1
13553.0,"142",1,4,2
13757.0,"111",1,1,1
12396.0,"133",1,3,3
14545.0,"122",1,2,2
14151.0,"133",1,3,3
17328.0,"111",1,1,1
13234.0,"132",1,3,2
13009.0,"111",1,1,1
16082.0,"111",1,1,1
14884.0,"111",1,1,1
18070.0,"112",1,1,2
17319.0,"111",1,1,1
17294.0,"122",1,2,2
15892.0,"131",1,3,1
13119.0,"111",1,1,1
15082.0,"111",1,1,1
17810.0,"132",1,3,2
16436.0,"131",1,3,1
16530.0,"111",1,1,1
12776.0,"111",1,1,1
17780.0,"142",1,4,2
17575.0,"111",1,1,1
13442.0,"132",1,3,2
16577.0,"122",1,2,2
15765.0,"122",1,2,2
14072.0,"122",1,2,2
14190.0,"111",1,1,1
15293.0,"121",1,2,1
14103.0,"111",1,1,1
14827.0,"111",1,1,1
16822.0,"111",1,1,1
17108.0,"111",1,1,1
15964.0,"122",1,2,2
14943.0,"111",1,1,1
17136.0,"111",1,1,1
